"Customer #","Name","Address","City","State","Zip","Sales Rep","Account Type"
"1106","Boba Botanica","undefined","Lakewood","Colorado","undefined","Brandon Good","Wholesale"
"400","Bobs Smoke Shop","undefined","Litchfield Park","AZ","undefined","Jared Leuzinger","Wholesale"
"1554","Body Logix | TX","undefined","Austin","TX","undefined","Jared Leuzinger","Wholesale"
"391","Boldt Runners Corp","undefined","Arcata","CA","undefined","Ben Wallner","Wholesale"
"1574","Botanical Queen | MT","undefined","Helena","MT","undefined","Brandon Good","Wholesale"
"429","Botanical Superstore","undefined","Hamilton","Montana","undefined","Brandon Good","Wholesale"
"1309","Botanical Wellness","undefined","Gainesville","GA","undefined","Derek Whitworth","Wholesale"
"211","Botava Wholesale/Rhianin B","undefined","fort collins","CO","undefined","Brandon Good","Distributor"
"947","BP Tobacco Plus","undefined","Brooklyn Park","MN","undefined","Brandon Good","Wholesale"
"190","Brad DuLong","undefined","Keller","TX","undefined","Jared Leuzinger","Wholesale"
"830","Braden Gardner","undefined","Layton","Utah","undefined","SHOPIFY","Retail"
"632","Brandon C.","undefined","DES PLAINES","Illinois","undefined","ShipStation","Retail"
"636","Brandon Simmons","undefined","CONROE","Texas","undefined","ShipStation","Retail"
"907","Bread basket Manchaca","undefined","Austin","TX","undefined","Jared Leuzinger","Wholesale"
"1805","Bright Side Distributing","undefined","Clackamas","Oregon","undefined","Ben Wallner","Distributor"
"1651","Britain One Stop Inc","undefined","New Britain","PA","undefined","Derek Whitworth","Wholesale"
"1897","BROAD STREET LIQUORS","undefined","TIMONIUM","Maryland","undefined","Derek Whitworth","Wholesale"
"1699","Brookpark Smokes and Beverage","undefined","Brookpark","OH","undefined","Joe Simmons","Wholesale"
"15","BTG Distro | TCC LLC","undefined","Boise","ID","undefined","admin","Distributor"
"1437","Bud's Glass Joint","undefined","Phoenix","Arizona","undefined","Jared Leuzinger","Wholesale"
"779","Budz Vapes","undefined","Buda","Texas","undefined","Derek Whitworth","Wholesale"
"1240","Bulldog Liquor & Wine","undefined","Spokane","WA","undefined","Ben Wallner","Wholesale"
"1339","Burbank Smoke Shop","undefined","Burbank","CA","undefined","Ben Wallner","Wholesale"
"1446","Burnies Smoke Shop | FL","undefined","Fort Lauderdale","FL","undefined","Zalak","Wholesale"
"1163","Burnout Smoke Shop","undefined","Lynnwood","WA","undefined","Ben Wallner","Wholesale"
"1850","Buzz Smoke & Vape Geneva","undefined","Geneva","Illinois","undefined","Joe Simmons","Wholesale"
"472","Buzz Smoke Shop","undefined","San Jose","CA","undefined","Ben Wallner","Wholesale"
"660","Buzz Smoke Shop (*Tucson)","undefined","Tucson","AZ","undefined","Jared Leuzinger","Wholesale"
"274","Buzzin Smoke & Vape Shop","undefined","Tulsa","OK","undefined","Jared Leuzinger","Wholesale"
"1951","By-Rite | Emmett","undefined","Emmett","","undefined","Brandon Good","Retail"
"1533","C's Liquor","undefined","Spencer","Iowa","undefined","Jared Leuzinger","Wholesale"
"1175","CA Wholesale","undefined","Denver","CO","undefined","Brandon Good","Distributor"
"1210","CACTUS SMOKE SHOP","undefined","Huntington Beach","California","undefined","Ben Wallner","Wholesale"
"1516","cali blaze","undefined","san ysidro","CA","undefined","Ben Wallner","Wholesale"
"1147","Cali Botanicals | Rancho","undefined","Rancho Cordova","California","undefined","Brandon Good","Retail"
"750","CALI HEADZ SMOKESHOP","undefined","WOODLAND","WA","undefined","Ben Wallner","Retail"
"459","California Gift Center","undefined","San Francisco","CA","undefined","Ben Wallner","Wholesale"
"457","Canal Express Inc.","undefined","New York","NY","undefined","Derek Whitworth","Wholesale"
"450","Canal Smoke","undefined","New York","NY","undefined","Derek Whitworth","Wholesale"
"453","Canna Health","undefined","Northglenn","Colorado","undefined","Brandon Good","Wholesale"
"1221","Cannatron","undefined","Oak Park","Michigan","undefined","Jared","Retail"
"1463","Capitol Botanical | WY","undefined","Cody","WY","undefined","Brandon Good","Wholesale"
"800","Capitol Smoke EC","undefined","Elizabeth city","NC","undefined","Sergio","Wholesale"
"799","Capitol Smoke Raleigh","undefined","Raleigh","NC","undefined","Sergio","Wholesale"
"801","Capitol Smoke RVA","undefined","Richmond","VA","undefined","Sergio","Wholesale"
"1141","Capone's Vape & Glass | Herrin","undefined","Herrin","Illinois","undefined","Brandon Good","Wholesale"
"1719","Capones Carterville | IL","undefined","Carterville","Illinois","undefined","Brandon Good","Wholesale"
"231","Carolina NCSC","undefined","Clover","SC","undefined","mattPeters","Wholesale"
"1729","CASK & WINE SHOP","undefined","NEWBURY PARK","California","undefined","Ben Wallner","Retail"
"407","Caterpillar Vapes","undefined","Omaha","NE","undefined","Jared Leuzinger","Wholesale"
"319","CBD Essentials","undefined","Riverton","UT","undefined","Sergio","Wholesale"
"645","Celebrity Cigar","undefined","mendhem","NJ","undefined","Derek Whitworth","Wholesale"
"1297","Central Tobacco/Mars Dist.","undefined","Minneapolis","Minnesota","undefined","Brandon Good","Retail"
"973","Central Tobacco/Mars Dist.","undefined","Blaine","MN","undefined","Brandon Good","Distributor"
"697","Centuries Harvest","undefined","Whitehall","OH","undefined","Derek Whitworth","Wholesale"
"652","Champs Cigar and Vape","undefined","Hamilton","NJ","undefined","Derek Whitworth","Wholesale"
"1126","Chapin Hemp Company","undefined","Chapin","SC","undefined","Jared","Wholesale"
"1249","Charlie Pike Tobacco | Spokane","undefined","Seattle","WA","undefined","Ben Wallner","Wholesale"
"1691","Chase Cash & Carry, Inc","undefined","Dearborn","MI","undefined","Joe Simmons","Distributor"
"937","Chasing Clouds","undefined","Norfolk","NE","undefined","Jared Leuzinger","Wholesale"
"954","Cheaper Cigaretes | Arcata","undefined","Arcata","CA","undefined","Ben Wallner","Wholesale"
"516","Cheaper Cigarettes","undefined","SAN FRANCISCO","CA","undefined","Ben Wallner","Wholesale"
"564","Cheaper Cigarettes - Union City","undefined","Union City","CA","undefined","Ben Wallner","Wholesale"
"914","Cheapest Smokes","undefined","Gardena","CA","undefined","Ben Wallner","Wholesale"
"648","Chevron gastation","undefined","Mesa","AZ","undefined","Jared Leuzinger","Wholesale"
"1514","Choice Food Store","undefined","keyport","New Jersey","undefined","Derek Whitworth","Wholesale"
"608","Chris MacLaren","undefined","BEACHWOOD","Ohio","undefined","ShipStation","Retail"
"596","Christina Koro","undefined","LA JOLLA","California","undefined","ShipStation","Retail"
"673","Christine S","undefined","Madisonville","LA","undefined","Jared Leuzinger","Wholesale"
"1665","Christopher Farmer | Wicked Biz","undefined","Boise","ID","undefined","Brandon Good","Wholesale"
"1244","Cig World","undefined","Bakersfield","CA","undefined","Ben Wallner","Wholesale"
