LQ-0875-3000,Mango ES- 30 gal,Mango,Bulk,30gal,GAL,30 gallon bulk
Pallet Charge,Pallet Charge FH,Service,Fee,N/A,EA,Pallet charge
Prepaid Sales,Prepaid Sales,Service,Payment,N/A,EA,Prepaid orders
Shipping,Shipping,Service,Shipping,N/A,EA,Standard shipping
ShipStation Shipping,ShipStation shipping amount,Service,Shipping,N/A,EA,ShipStation integration
Shopify Shipping,Shopify shipping amount,Service,Shipping,N/A,EA,Shopify integration
Starter Bundle - 20ct Capsules,20ct Capsules Starter Kit,Starter,Kit,20ct,KT,20-count starter
Starter Bundle - 20g Powders,20g Powder Starter Kit,Starter,Kit,20g,KT,20g powder starter
Store Sample Kit,Store Sample Kit,Sample,Kit,Mixed,KT,Store samples
Test #1,product for testing flows,Test,Product,N/A,EA,Test product
Test #2,Product for testing flows,Test,Product,N/A,EA,Test product
testing 12 pk,12 pk testing,Test,Product,12pk,CS,Test case pack
TKC-001,2ct Extract Caps- 100+ Mit,Extract,Capsules,2ct,EA,2-count extract caps
TT-001-WL,TikTonics- 200mg Kava- 2oz FG,TikTonics,Liquid,2oz,EA,200mg Kava
TT-002-WL,TikTonics-Berry Bliss-100mg Kratom-2oz FG,TikTonics,Liquid,2oz,EA,100mg Kratom
TT-003-WL,TikTonics-Straw. Guava- 150mg Kratom- 15ml FG,TikTonics,Liquid,15ml,EA,150mg Kratom
TT-004-WL,TikTonics-Natural Sweet-110mg Kratom-10ml FG,TikTonics,Liquid,10ml,EA,110mg Kratom
TT-005-WL,TikTonics- Fruit Punch-Soft Chews-20mg-6ct bags FG,TikTonics,Chews,6ct,EA,20mg 6-count
FG- 1kg Green Powder,1kg Green Powder,Powder,Bulk,1kg,KG,1000g green
FG- 1kg White Powder,1kg White Powder,Powder,Bulk,1kg,KG,1000g white
FG- 20g Green Powder,20g Green Powder,Powder,Retail,20g,EA,20g green
FG- 20g Red Powder,20g Red Powder,Powder,Retail,20g,EA,20g red
FG- 20g White Powder,20g White Powder,Powder,Retail,20g,EA,20g white
FG- 60g Green Powder,60g Green Powder,Powder,Retail,60g,EA,60g green
FG- 60g Red Powder,60g Red Powder,Powder,Retail,60g,EA,60g red
FG- 60g White Powder,60g White Powder,Powder,Retail,60g,EA,60g white
FG- 75ct Green Caps,75ct Green Caps,Capsules,Retail,75ct,EA,75 count green
FG- 75ct Red Caps,75ct Red Caps,Capsules,Retail,75ct,EA,75 count red
FG- 75ct White Caps,75ct White Caps,Capsules,Retail,75ct,EA,75 count white
FG-BX12 -release+relax,BX12 - release+relax,Release+Relax,Box Pack,BX12,BX,12-unit box
FG-BX12 Focus+Flow,BX12 Focus + Flow,Focus+Flow,Box Pack,BX12,BX,12-unit box
FG-BX12 Focus+Flow -(Refill),BX12 Focus + Flow - (Refill),Focus+Flow,Refill,BX12,BX,Box refill
FG-BX12 Mango Extract Shot 120mg,BX12 Mango Extract Shot 120mg,Mango,Box Pack,BX12,BX,12-shot box
FG-BX12 Zoom,BX12-Zoom Citrus 80mg-2 oz Kanva Botanicals,Zoom,Box Pack,BX12,BX,12-unit box
FG-120g Green Powder,120g Green Powder,Powder,Retail,120g,EA,120g green
FG-120g Red Powder,120g Red Powder,Powder,Retail,120g,EA,120g red
FG-120g White Powder,120g White Powder,Powder,Retail,120g,EA,120g white
FG-150ct Green Caps,150ct Green Caps,Capsules,Retail,150ct,EA,150 count green
FG-150ct Red Caps,150ct Red Caps,Capsules,Retail,150ct,EA,150 count red
FG-150ct White Caps,150ct White Caps,Capsules,Retail,150ct,EA,150 count white
FG-1kg Red Caps Wt,1kg Red Caps Wt,Capsules,Bulk,1kg,KG,1kg red caps weight
FG-1kg Red Powder,1kg Red Powder,Powder,Bulk,1kg,KG,1kg red powder
FG-1kg White Cap Wt,1kg White Cap Wt,Capsules,Bulk,1kg,KG,1kg white caps weight
