Issued date,Account ID,Bill_to_name,Billing Address,Bill_to_city,Billing State,Bill_to_zip,Customer Name,Default_salesman,Product_id,Product,Sales order Number,So_status,Sales person,So c1,So_c2,So_c3,So_c4,So_c5,So_c6,Sales Order ID,Soitem_id,Soitem_product_number,Customer ID,Product_description,Sales Order Item Description,Soitem_type,BOL,Carrier_name,Company_id,Company_name,Ship_status,Sales_order_number,Status ID,Salesmaninitials,Fulfilled Quantity,Last_unitprice,So_ct,Unitprice,Total price,Total cost,Sales Order Line Item
01-05-2026,1071,WILD SIDE CHAMPAIGN-CP2 (IL),604 S. Neil St. Suite 103,Champaign,Illinois,61820,WILD SIDE CHAMPAIGN-CP2 (IL),,11,Shipping,10115,Fulfilled,admin,,,,,,,25209,"76,334",Shipping,907,Shipping,Shipping Tracking: 1Z90V7160330023185,Shipping,229531,UPS,1,CWL Brands,Shipped,10115,30,ADM,2.00,$0.0000,2.00,$0.00,$0.00,$0.00,4.00
01-05-2026,1068,SMOKE RINGS CHAPEL HILL-CH2 (NC),1728 Fordham Blvd Suite 147,Chapel Hill,North Carolina,27517,SMOKE RINGS CHAPEL HILL-CH2 (NC),,196,KB-3002,10098,Fulfilled,admin,,,,,,,25192,"76,280",KB-3002,904,Zoom 12PK,Zoom 12PK,Sale,229401,UPS,1,CWL Brands,Shipped,10098,30,ADM,10.00,$42.0000,2.00,$42.00,$420.00,$162.30,2.00
01-05-2026,1068,SMOKE RINGS CHAPEL HILL-CH2 (NC),1728 Fordham Blvd Suite 147,Chapel Hill,North Carolina,27517,SMOKE RINGS CHAPEL HILL-CH2 (NC),,11,Shipping,10098,Fulfilled,admin,,,,,,,25192,"76,292",Shipping,904,Shipping,Shipping Tracking: 1Z90V7160309463464,Shipping,229401,UPS,1,CWL Brands,Shipped,10098,30,ADM,2.00,$0.0000,2.00,$0.00,$0.00,$0.00,4.00
01-05-2026,854,WILD SIDE CONWAY-CW (SC),"1194 Highway 544 , Unit 3",Conway,South Carolina,29526,WILD SIDE CONWAY-CW (SC),,207,KB-3000,10113,Fulfilled,admin,,,,,,,25207,"76,316",KB-3000,692,Focus+Flow 12PK,Focus+Flow 12PK,Sale,229517,UPS,1,CWL Brands,Shipped,10113,30,ADM,12.00,$60.0000,2.00,$55.80,$669.60,$62.94,2.00
01-05-2026,854,WILD SIDE CONWAY-CW (SC),"1194 Highway 544 , Unit 3",Conway,South Carolina,29526,WILD SIDE CONWAY-CW (SC),,11,Shipping,10113,Fulfilled,admin,,,,,,,25207,"76,339",Shipping,692,Shipping,Shipping Tracking: 1Z90V7160323348026,Shipping,229517,UPS,1,CWL Brands,Shipped,10113,30,ADM,2.00,$0.0000,2.00,$0.00,$0.00,$0.00,4.00
01-05-2026,730,Mile High Botanicals,"1540 S Holly St, Unit #5",Denver,Colorado,80222,Mile High Botanicals,,206,KB-4000,10082,Fulfilled,BrandonG,,,,,,,25176,"76,221",KB-4000,569,Focus MC12,Focus MC12,Sale,229326,UPS,1,CWL Brands,Shipped,10082,30,BG,2.00,$576.0000,1.00,$720.00,"$1,440.00",$444.89,1.00
01-05-2026,730,Mile High Botanicals,"1540 S Holly St, Unit #5",Denver,Colorado,80222,Mile High Botanicals,,11,Shipping,10082,Fulfilled,BrandonG,,,,,,,25176,"76,268",Shipping,569,Shipping,Shipping Tracking: 1Z90V7160310210608,Shipping,229326,UPS,1,CWL Brands,Shipped,10082,30,BG,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,2.00
01-05-2026,861,SMOKE ZONE ENFIELD-EN (CT),25 Enfield St,Enfield,Connecticut,6082,SMOKE ZONE ENFIELD-EN (CT),,206,KB-4000,10108,Fulfilled,admin,,,,,,,25203,"76,308",KB-4000,699,Focus MC12,Focus MC12,Sale,229487,UPS,1,CWL Brands,Shipped,10108,30,ADM,6.00,$576.0000,2.00,$669.60,"$4,017.60","$1,301.01",2.00
01-05-2026,861,SMOKE ZONE ENFIELD-EN (CT),25 Enfield St,Enfield,Connecticut,6082,SMOKE ZONE ENFIELD-EN (CT),,11,Shipping,10108,Fulfilled,admin,,,,,,,25203,"76,338",Shipping,699,Shipping,Shipping Tracking: 1Z90V7160336001590,Shipping,229487,UPS,1,CWL Brands,Shipped,10108,30,ADM,2.00,$0.0000,2.00,$0.00,$0.00,$0.00,4.00
01-05-2026,1478,River Tobacco,6485 E River Rd,Fridley,Minnesota,55432,River Tobacco,,206,KB-4000,10119,Fulfilled,admin,,,,,,,25214,"76,341",KB-4000,1264,Focus MC12,Focus MC12,Sale,229692,UPS,1,CWL Brands,Shipped,10119,30,ADM,2.00,$576.0000,1.00,$720.00,"$1,440.00",$433.67,1.00
